2 	0.265326	 0.258097 	 0.253435
4 	0.220418	 0.279326 	 0.211414
8 	0.264640	 0.274518 	 0.227476
16 	0.233788	 0.246127 	 0.259344
32 	0.231881	 0.214452 	 0.273208
64 	0.238286	 0.231305 	 0.273650
128 	0.252807	 0.290414 	 0.222072
256 	0.243330	 0.258170 	 0.238384
512 	0.242479	 0.260494 	 0.238536
1024 	0.241410	 0.251155 	 0.238845
2048 	0.241019	 0.256440 	 0.245110
4096 	0.243317	 0.257335 	 0.242564
8192 	0.242576	 0.252246 	 0.240708
16384 	0.242801	 0.257994 	 0.242834
32768 	0.242889	 0.256966 	 0.242093
65536 	0.242480	 0.256560 	 0.242960
