-0.617746 	 -0.786378
0.376003 	 -0.674734
-0.569808 	 -0.350015
-0.112542 	 0.539315
-0.575798 	 -0.34691
-1.56878 	 -0.465204
-2.47057 	 -0.0330451
-2.50057 	 0.966505
-1.72376 	 1.59625
-2.64634 	 1.98207
-1.64648 	 1.96528
-2.57621 	 1.59704
-3.13524 	 2.42619
-2.34128 	 1.81822
-1.88151 	 2.70626
-2.43755 	 1.8751
-3.02718 	 1.06743
-2.02726 	 1.05446
-1.71304 	 2.00381
-2.68764 	 1.77986
-3.24806 	 0.951653
-2.36549 	 1.42184
-1.50825 	 1.93676
-2.02084 	 1.07813
-2.98752 	 1.33411
-1.98967 	 1.26867
-0.992076 	 1.19928
-0.465068 	 0.349422
0.507643 	 0.581438
0.190199 	 1.52971
1.16702 	 1.31564
1.89892 	 1.99705
2.85094 	 2.30307
2.03005 	 2.87415
2.69451 	 3.62148
3.55891 	 3.11866
3.47678 	 2.12204
3.18475 	 3.07845
3.07196 	 2.08483
2.27679 	 2.69122
2.75273 	 3.5707
1.75278 	 3.56082
1.15289 	 4.36091
1.80217 	 5.12145
1.33151 	 4.23914
1.97466 	 3.47341
1.09958 	 3.95738
0.839525 	 4.92297
1.44968 	 5.71526
1.33681 	 6.70887
1.21847 	 7.70184
2.13705 	 8.09709
3.1335 	 8.18123
2.31195 	 7.6111
2.83576 	 6.75927
1.95702 	 7.23657
1.02996 	 6.86167
2.01596 	 7.02843
2.5265 	 6.16858
1.70664 	 5.59602
2.64643 	 5.93778
3.3698 	 5.24732
4.26681 	 5.68932
4.66088 	 4.77024
3.95847 	 4.05847
3.36078 	 3.25674
4.04872 	 3.98251
3.05986 	 3.83364
2.06782 	 3.70772
2.63108 	 4.53401
2.45864 	 5.51903
1.59906 	 5.00803
1.72085 	 6.00059
1.8096 	 6.99664
2.75583 	 6.67314
2.10876 	 7.43558
1.22148 	 7.89679
0.240154 	 7.70442
-0.696932 	 7.35532
-1.37573 	 8.08964
-1.85273 	 7.21074
-1.74692 	 8.20513
-2.40857 	 7.45532
-2.10105 	 8.40686
-2.80372 	 7.69534
-2.13543 	 8.43925
-2.90841 	 9.07368
-3.86058 	 9.37925
-3.95305 	 8.38354
-4.34055 	 9.30541
-3.63461 	 10.0137
-3.25361 	 10.9383
-3.51043 	 11.9047
-3.4917 	 10.9049
-2.49171 	 10.9086
-2.68494 	 11.8897
-3.50295 	 12.4649
-2.59185 	 12.8771
-2.9928 	 13.7932
-3.06555 	 14.7905
